,Loss
0,31098.07421875
1,31096.9609375
2,31095.845703125
3,31094.7265625
4,31093.603515625
5,31092.48046875
6,31091.35546875
7,31090.234375
8,31089.11328125
9,31087.990234375
10,31086.87109375
11,31085.7578125
12,31084.646484375
13,31083.54296875
14,31082.44140625
15,31081.345703125
16,31080.2578125
17,31079.171875
18,31078.09375
19,31077.01953125
20,31075.95703125
21,31074.8984375
22,31073.84765625
23,31072.80078125
24,31071.7578125
25,31070.720703125
26,31069.69140625
27,31068.66796875
28,31067.65234375
29,31066.640625
30,31065.63671875
31,31064.638671875
32,31063.6484375
33,31062.662109375
34,31061.681640625
35,31060.7109375
36,31059.740234375
37,31058.77734375
38,31057.8203125
39,31056.8671875
40,31055.91796875
41,31054.974609375
42,31054.037109375
43,31053.09765625
44,31052.1640625
45,31051.232421875
46,31050.30078125
47,31049.375
48,31048.447265625
49,31047.52734375
50,31046.60546875
51,31045.689453125
52,31044.76953125
53,31043.853515625
54,31042.94140625
55,31042.03125
56,31041.12109375
57,31040.21484375
58,31039.310546875
59,31038.40625
60,31037.50390625
61,31036.6015625
62,31035.697265625
63,31034.791015625
64,31033.8828125
65,31032.97265625
66,31032.068359375
67,31031.158203125
68,31030.25
69,31029.3359375
70,31028.419921875
71,31027.505859375
72,31026.5859375
73,31025.658203125
74,31024.72265625
75,31023.77734375
76,31022.828125
77,31021.869140625
78,31020.90234375
79,31019.92578125
80,31018.9453125
81,31017.95703125
82,31016.947265625
83,31015.9140625
84,31014.869140625
85,31013.80859375
86,31012.7265625
87,31011.625
88,31010.50390625
89,31009.34765625
90,31008.16796875
91,31006.953125
92,31005.720703125
93,31004.4765625
94,31003.22265625
95,31001.958984375
96,31000.6796875
97,30999.3984375
98,30998.11328125
99,30996.828125
100,30995.54296875
101,30994.263671875
102,30992.984375
103,30991.7109375
104,30990.4453125
105,30989.18359375
106,30987.9296875
107,30986.681640625
108,30985.44140625
109,30984.208984375
110,30982.984375
111,30981.76171875
112,30980.54296875
113,30979.328125
114,30978.1171875
115,30976.91015625
116,30975.7109375
117,30974.515625
118,30973.32421875
119,30972.138671875
120,30970.953125
121,30969.76953125
122,30968.58984375
123,30967.41015625
124,30966.234375
125,30965.0546875
126,30963.87109375
127,30962.6875
128,30961.501953125
129,30960.3203125
130,30959.13671875
131,30957.953125
132,30956.77734375
133,30955.599609375
134,30954.421875
135,30953.24609375
136,30952.07421875
137,30950.904296875
138,30949.734375
139,30948.56640625
140,30947.40625
141,30946.248046875
142,30945.091796875
143,30943.93359375
144,30942.783203125
145,30941.62890625
146,30940.482421875
147,30939.33984375
148,30938.1953125
149,30937.0546875
150,30935.921875
151,30934.791015625
152,30933.6640625
153,30932.5390625
154,30931.416015625
155,30930.298828125
156,30929.1875
157,30928.078125
158,30926.97265625
159,30925.87109375
160,30924.7734375
161,30923.685546875
162,30922.59765625
163,30921.515625
164,30920.4375
165,30919.36328125
166,30918.287109375
167,30917.212890625
168,30916.14453125
169,30915.08203125
170,30914.021484375
171,30912.966796875
172,30911.91796875
173,30910.873046875
174,30909.830078125
175,30908.791015625
176,30907.75390625
177,30906.71875
178,30905.68359375
179,30904.65234375
180,30903.62109375
181,30902.59375
182,30901.572265625
183,30900.552734375
184,30899.5390625
185,30898.52734375
186,30897.521484375
187,30896.51953125
188,30895.51953125
189,30894.525390625
190,30893.53515625
191,30892.546875
192,30891.5625
193,30890.58203125
194,30889.60546875
195,30888.6328125
196,30887.662109375
197,30886.6953125
198,30885.734375
199,30884.775390625
