,Loss
0,64175.0859375
1,64174.10546875
2,64173.125
3,64172.1328125
4,64171.13671875
5,64170.1328125
6,64169.1328125
7,64168.12109375
8,64167.109375
9,64166.09375
10,64165.078125
11,64164.0546875
12,64163.03125
13,64162.00390625
14,64160.9765625
15,64159.953125
16,64158.921875
17,64157.890625
18,64156.85546875
19,64155.82421875
20,64154.7890625
21,64153.75
22,64152.71875
23,64151.6796875
24,64150.640625
25,64149.6015625
26,64148.5625
27,64147.5234375
28,64146.484375
29,64145.4453125
30,64144.40234375
31,64143.359375
32,64142.3203125
33,64141.27734375
34,64140.234375
35,64139.1953125
36,64138.1484375
37,64137.109375
38,64136.06640625
39,64135.0234375
40,64133.9765625
41,64132.9375
42,64131.89453125
43,64130.8515625
44,64129.8046875
45,64128.765625
46,64127.71875
47,64126.671875
48,64125.62890625
49,64124.5859375
50,64123.54296875
51,64122.5
52,64121.453125
53,64120.4140625
54,64119.3671875
55,64118.3203125
56,64117.28125
57,64116.234375
58,64115.19140625
59,64114.1484375
60,64113.1015625
61,64112.05859375
62,64111.01171875
63,64109.96875
64,64108.921875
65,64107.87890625
66,64106.83203125
67,64105.7890625
68,64104.7421875
69,64103.703125
70,64102.65625
71,64101.609375
72,64100.56640625
73,64099.5234375
74,64098.4765625
75,64097.43359375
76,64096.390625
77,64095.33984375
78,64094.296875
79,64093.25
80,64092.20703125
81,64091.1640625
82,64090.1171875
83,64089.07421875
84,64088.03125
85,64086.984375
86,64085.9375
87,64084.8984375
88,64083.8515625
89,64082.8046875
90,64081.76171875
91,64080.71875
92,64079.671875
93,64078.625
94,64077.5859375
95,64076.5390625
96,64075.4921875
97,64074.44921875
98,64073.40625
99,64072.359375
100,64071.3125
101,64070.26953125
102,64069.2265625
103,64068.18359375
104,64067.13671875
105,64066.09375
106,64065.046875
107,64064.00390625
108,64062.95703125
109,64061.9140625
110,64060.87109375
111,64059.828125
112,64058.78125
113,64057.73828125
114,64056.6953125
115,64055.6484375
116,64054.6015625
117,64053.5625
118,64052.515625
119,64051.47265625
120,64050.4296875
121,64049.3828125
122,64048.3359375
123,64047.296875
124,64046.25
125,64045.20703125
126,64044.1640625
127,64043.1171875
128,64042.078125
129,64041.03125
130,64039.984375
131,64038.9453125
132,64037.90234375
133,64036.859375
134,64035.8125
135,64034.7734375
136,64033.7265625
137,64032.68359375
138,64031.640625
139,64030.6015625
140,64029.5546875
141,64028.51171875
142,64027.46875
143,64026.4296875
144,64025.3828125
145,64024.33984375
146,64023.296875
147,64022.25390625
148,64021.21484375
149,64020.171875
150,64019.12890625
151,64018.0859375
152,64017.04296875
153,64016.00390625
154,64014.9609375
155,64013.921875
156,64012.87890625
157,64011.8359375
158,64010.796875
159,64009.7578125
160,64008.7109375
161,64007.671875
162,64006.6328125
163,64005.58984375
164,64004.55078125
165,64003.5078125
166,64002.46875
167,64001.4296875
168,64000.38671875
169,63999.34765625
170,63998.30859375
171,63997.26953125
172,63996.23046875
173,63995.1875
174,63994.1484375
175,63993.109375
176,63992.0703125
177,63991.03125
178,63989.9921875
179,63988.953125
180,63987.9140625
181,63986.875
182,63985.83984375
183,63984.80078125
184,63983.765625
185,63982.7265625
186,63981.6875
187,63980.6484375
188,63979.6171875
189,63978.578125
190,63977.5390625
191,63976.5
192,63975.46875
193,63974.4296875
194,63973.39453125
195,63972.359375
196,63971.328125
197,63970.2890625
198,63969.25390625
199,63968.21875
