,Loss
0,46118.203125
1,46117.3515625
2,46116.4921875
3,46115.6328125
4,46114.765625
5,46113.8984375
6,46113.0234375
7,46112.1484375
8,46111.265625
9,46110.3828125
10,46109.49609375
11,46108.60546875
12,46107.71875
13,46106.828125
14,46105.93359375
15,46105.04296875
16,46104.1484375
17,46103.25
18,46102.359375
19,46101.4609375
20,46100.5625
21,46099.6640625
22,46098.76953125
23,46097.8671875
24,46096.97265625
25,46096.0703125
26,46095.171875
27,46094.27734375
28,46093.375
29,46092.4765625
30,46091.578125
31,46090.6796875
32,46089.78125
33,46088.8828125
34,46087.984375
35,46087.0859375
36,46086.1875
37,46085.2890625
38,46084.390625
39,46083.49609375
40,46082.59375
41,46081.69921875
42,46080.80078125
43,46079.90625
44,46079.0078125
45,46078.11328125
46,46077.21484375
47,46076.3203125
48,46075.42578125
49,46074.53125
50,46073.6328125
51,46072.7421875
52,46071.8515625
53,46070.953125
54,46070.0625
55,46069.1640625
56,46068.2734375
57,46067.3828125
58,46066.48828125
59,46065.6015625
60,46064.703125
61,46063.8125
62,46062.921875
63,46062.03125
64,46061.140625
65,46060.25
66,46059.359375
67,46058.46875
68,46057.58203125
69,46056.6953125
70,46055.80078125
71,46054.9140625
72,46054.02734375
73,46053.13671875
74,46052.25
75,46051.3671875
76,46050.4765625
77,46049.5859375
78,46048.703125
79,46047.8125
80,46046.9296875
81,46046.04296875
82,46045.15625
83,46044.2734375
84,46043.3828125
85,46042.5
86,46041.6171875
87,46040.73046875
88,46039.84375
89,46038.96484375
90,46038.078125
91,46037.19140625
92,46036.3125
93,46035.4296875
94,46034.546875
95,46033.6640625
96,46032.78125
97,46031.89453125
98,46031.015625
99,46030.1328125
100,46029.25
101,46028.3671875
102,46027.48828125
103,46026.609375
104,46025.7265625
105,46024.84375
106,46023.96875
107,46023.0859375
108,46022.2109375
109,46021.328125
110,46020.44921875
111,46019.5703125
112,46018.6875
113,46017.80859375
114,46016.93359375
115,46016.0546875
116,46015.17578125
117,46014.296875
118,46013.421875
119,46012.5390625
120,46011.66796875
121,46010.7890625
122,46009.9140625
123,46009.0390625
124,46008.16015625
125,46007.28515625
126,46006.40625
127,46005.53125
128,46004.65625
129,46003.78125
130,46002.90625
131,46002.03125
132,46001.15625
133,46000.28515625
134,45999.41015625
135,45998.53125
136,45997.66015625
137,45996.7890625
138,45995.9140625
139,45995.0390625
140,45994.16796875
141,45993.29296875
142,45992.42578125
143,45991.5546875
144,45990.6796875
145,45989.8046875
146,45988.9375
147,45988.06640625
148,45987.1953125
149,45986.32421875
150,45985.453125
151,45984.58203125
152,45983.71484375
153,45982.84375
154,45981.96875
155,45981.1015625
156,45980.234375
157,45979.36328125
158,45978.4921875
159,45977.625
160,45976.7578125
161,45975.890625
162,45975.0234375
163,45974.15234375
164,45973.28515625
165,45972.41796875
166,45971.546875
167,45970.6796875
168,45969.8125
169,45968.9453125
170,45968.078125
171,45967.21484375
172,45966.34765625
173,45965.48046875
174,45964.6171875
175,45963.75
176,45962.8828125
177,45962.01953125
178,45961.15234375
179,45960.2890625
180,45959.421875
181,45958.55859375
182,45957.6953125
183,45956.828125
184,45955.96875
185,45955.1015625
186,45954.234375
187,45953.375
188,45952.51171875
189,45951.6484375
190,45950.78125
191,45949.921875
192,45949.0625
193,45948.1953125
194,45947.3359375
195,45946.47265625
196,45945.609375
197,45944.75
198,45943.890625
199,45943.0234375
