,Loss
0,79264.2578125
1,79263.21875
2,79262.171875
3,79261.109375
4,79260.0390625
5,79258.96875
6,79257.890625
7,79256.796875
8,79255.71875
9,79254.625
10,79253.5390625
11,79252.453125
12,79251.359375
13,79250.265625
14,79249.1796875
15,79248.09375
16,79247.0078125
17,79245.9296875
18,79244.84375
19,79243.765625
20,79242.6875
21,79241.6171875
22,79240.546875
23,79239.484375
24,79238.421875
25,79237.3515625
26,79236.296875
27,79235.25
28,79234.1953125
29,79233.1484375
30,79232.109375
31,79231.0625
32,79230.03125
33,79228.984375
34,79227.9609375
35,79226.9375
36,79225.90625
37,79224.8828125
38,79223.859375
39,79222.8515625
40,79221.828125
41,79220.8203125
42,79219.8125
43,79218.8046875
44,79217.796875
45,79216.796875
46,79215.796875
47,79214.796875
48,79213.8046875
49,79212.8125
50,79211.828125
51,79210.8359375
52,79209.84375
53,79208.859375
54,79207.875
55,79206.8984375
56,79205.921875
57,79204.9375
58,79203.9609375
59,79202.984375
60,79202.0078125
61,79201.0390625
62,79200.0625
63,79199.09375
64,79198.125
65,79197.15625
66,79196.1953125
67,79195.2265625
68,79194.265625
69,79193.3046875
70,79192.34375
71,79191.3828125
72,79190.421875
73,79189.4609375
74,79188.515625
75,79187.5546875
76,79186.59375
77,79185.640625
78,79184.6953125
79,79183.7421875
80,79182.7890625
81,79181.84375
82,79180.890625
83,79179.9453125
84,79179.0
85,79178.046875
86,79177.1015625
87,79176.15625
88,79175.21875
89,79174.2734375
90,79173.328125
91,79172.390625
92,79171.453125
93,79170.5078125
94,79169.5703125
95,79168.6328125
96,79167.6953125
97,79166.7578125
98,79165.8203125
99,79164.890625
100,79163.953125
101,79163.015625
102,79162.0859375
103,79161.1484375
104,79160.21875
105,79159.28125
106,79158.359375
107,79157.421875
108,79156.5
109,79155.5625
110,79154.6328125
111,79153.703125
112,79152.78125
113,79151.8515625
114,79150.9296875
115,79150.0
116,79149.078125
117,79148.15625
118,79147.2265625
119,79146.296875
120,79145.3828125
121,79144.4609375
122,79143.53125
123,79142.6171875
124,79141.6953125
125,79140.7734375
126,79139.8515625
127,79138.9375
128,79138.015625
129,79137.09375
130,79136.1796875
131,79135.265625
132,79134.34375
133,79133.4375
134,79132.515625
135,79131.6015625
136,79130.6875
137,79129.7734375
138,79128.859375
139,79127.9453125
140,79127.03125
141,79126.125
142,79125.2109375
143,79124.3046875
144,79123.390625
145,79122.484375
146,79121.578125
147,79120.6640625
148,79119.765625
149,79118.8515625
150,79117.9453125
151,79117.03125
152,79116.140625
153,79115.2265625
154,79114.3203125
155,79113.4140625
156,79112.515625
157,79111.609375
158,79110.703125
159,79109.8046875
160,79108.90625
161,79108.0
162,79107.1015625
163,79106.1953125
164,79105.296875
165,79104.40625
166,79103.5
167,79102.609375
168,79101.7109375
169,79100.8125
170,79099.9140625
171,79099.0234375
172,79098.125
173,79097.234375
174,79096.3359375
175,79095.4375
176,79094.546875
177,79093.65625
178,79092.765625
179,79091.875
180,79090.984375
181,79090.09375
182,79089.203125
183,79088.3125
184,79087.421875
185,79086.53125
186,79085.6484375
187,79084.765625
188,79083.875
189,79082.984375
190,79082.09375
191,79081.21875
192,79080.328125
193,79079.4453125
194,79078.5625
195,79077.6796875
196,79076.796875
197,79075.9140625
198,79075.03125
199,79074.1484375
