,Loss
0,56970.2734375
1,56969.328125
2,56968.3828125
3,56967.43359375
4,56966.484375
5,56965.5390625
6,56964.58984375
7,56963.640625
8,56962.69140625
9,56961.7421875
10,56960.7890625
11,56959.84375
12,56958.89453125
13,56957.9453125
14,56957.0
15,56956.05078125
16,56955.1015625
17,56954.15625
18,56953.2109375
19,56952.265625
20,56951.3203125
21,56950.375
22,56949.4375
23,56948.4921875
24,56947.5546875
25,56946.61328125
26,56945.67578125
27,56944.734375
28,56943.8046875
29,56942.8671875
30,56941.93359375
31,56941.0
32,56940.06640625
33,56939.13671875
34,56938.203125
35,56937.2734375
36,56936.34375
37,56935.421875
38,56934.4921875
39,56933.5703125
40,56932.6484375
41,56931.72265625
42,56930.8046875
43,56929.8828125
44,56928.96875
45,56928.046875
46,56927.1328125
47,56926.21875
48,56925.30078125
49,56924.390625
50,56923.4765625
51,56922.5625
52,56921.65234375
53,56920.74609375
54,56919.8359375
55,56918.93359375
56,56918.02734375
57,56917.12109375
58,56916.21875
59,56915.3125
60,56914.4140625
61,56913.515625
62,56912.6171875
63,56911.71875
64,56910.8203125
65,56909.9296875
66,56909.03125
67,56908.140625
68,56907.24609375
69,56906.3515625
70,56905.4609375
71,56904.57421875
72,56903.6875
73,56902.796875
74,56901.91015625
75,56901.02734375
76,56900.140625
77,56899.2578125
78,56898.375
79,56897.49609375
80,56896.6171875
81,56895.734375
82,56894.859375
83,56893.984375
84,56893.10546875
85,56892.2265625
86,56891.3515625
87,56890.48046875
88,56889.609375
89,56888.73828125
90,56887.8671875
91,56887.0
92,56886.125
93,56885.26171875
94,56884.39453125
95,56883.53125
96,56882.6640625
97,56881.796875
98,56880.93359375
99,56880.07421875
100,56879.2109375
101,56878.3515625
102,56877.4921875
103,56876.62890625
104,56875.7734375
105,56874.9140625
106,56874.0625
107,56873.203125
108,56872.3515625
109,56871.4921875
110,56870.640625
111,56869.7890625
112,56868.9375
113,56868.0859375
114,56867.234375
115,56866.38671875
116,56865.5390625
117,56864.69140625
118,56863.84375
119,56863.0
120,56862.15234375
121,56861.30859375
122,56860.46875
123,56859.625
124,56858.78125
125,56857.94140625
126,56857.1015625
127,56856.2578125
128,56855.421875
129,56854.578125
130,56853.7421875
131,56852.90625
132,56852.0703125
133,56851.234375
134,56850.3984375
135,56849.5625
136,56848.73046875
137,56847.8984375
138,56847.06640625
139,56846.234375
140,56845.40234375
141,56844.57421875
142,56843.7421875
143,56842.9140625
144,56842.0859375
145,56841.2578125
146,56840.4296875
147,56839.6015625
148,56838.77734375
149,56837.953125
150,56837.12890625
151,56836.30078125
152,56835.4765625
153,56834.65625
154,56833.83203125
155,56833.01171875
156,56832.1875
157,56831.3671875
158,56830.546875
159,56829.7265625
160,56828.90625
161,56828.08984375
162,56827.26953125
163,56826.453125
164,56825.63671875
165,56824.8203125
166,56824.0
167,56823.1875
168,56822.3671875
169,56821.55859375
170,56820.7421875
171,56819.9296875
172,56819.11328125
173,56818.3046875
174,56817.48828125
175,56816.6796875
176,56815.8671875
177,56815.0546875
178,56814.2421875
179,56813.4296875
180,56812.62109375
181,56811.8125
182,56811.0
183,56810.1953125
184,56809.38671875
185,56808.578125
186,56807.76953125
187,56806.9609375
188,56806.15625
189,56805.34765625
190,56804.54296875
191,56803.734375
192,56802.9296875
193,56802.125
194,56801.3203125
195,56800.515625
196,56799.7109375
197,56798.90625
198,56798.10546875
199,56797.296875
