,Loss
0,292812980224.0
1,16128627703808.0
2,9681.26171875
3,10215.017578125
4,10514.7392578125
5,10724.826171875
6,10888.8125
7,11023.650390625
8,11139.4423828125
9,11238.8916015625
10,11325.255859375
11,11399.7646484375
12,11463.7509765625
13,11518.6650390625
14,11566.1943359375
15,11607.6083984375
16,11644.2177734375
17,11676.6796875
18,11705.36328125
19,11730.70703125
20,11753.107421875
21,11772.921875
22,11790.4365234375
23,11805.9033203125
24,11819.5634765625
25,11831.642578125
26,11842.28515625
27,11851.64453125
28,11859.853515625
29,11867.0390625
30,11873.3037109375
31,11878.7412109375
32,11883.443359375
33,11887.494140625
34,11890.958984375
35,11893.8994140625
36,11896.37109375
37,11898.42578125
38,11900.1123046875
39,11901.4716796875
40,11902.5380859375
41,11903.3447265625
42,11903.923828125
43,11904.30078125
44,11904.5
45,11904.546875
46,11904.451171875
47,11904.2275390625
48,11903.89453125
49,11903.4658203125
50,11902.951171875
51,11902.36328125
52,11901.7109375
53,11900.998046875
54,11900.234375
55,11899.4296875
56,11898.583984375
57,11897.708984375
58,11896.810546875
59,11895.890625
60,11894.9560546875
61,11894.01171875
62,11893.056640625
63,11892.095703125
64,11891.1298828125
65,11890.1591796875
66,11889.185546875
67,11888.2109375
68,11887.23828125
69,11886.267578125
70,11885.302734375
71,11884.341796875
72,11883.388671875
73,11882.4423828125
74,11881.501953125
75,11880.568359375
76,11879.640625
77,11878.720703125
78,11877.8125
79,11876.9140625
80,11876.025390625
81,11875.14453125
82,11874.2734375
83,11873.412109375
84,11872.560546875
85,11871.716796875
86,11870.8828125
87,11870.05859375
88,11869.2431640625
89,11868.4375
90,11867.642578125
91,11866.85546875
92,11866.0791015625
93,11865.310546875
94,11864.55078125
95,11863.80078125
96,11863.05859375
97,11862.3251953125
98,11861.6005859375
99,11860.8837890625
100,11860.173828125
101,11859.4736328125
102,11858.779296875
103,11858.09375
104,11857.4169921875
105,11856.7470703125
106,11856.083984375
107,11855.4287109375
108,11854.779296875
109,11854.138671875
110,11853.50390625
111,11852.876953125
112,11852.255859375
113,11851.642578125
114,11851.03515625
115,11850.43359375
116,11849.841796875
117,11849.2548828125
118,11848.67578125
119,11848.103515625
120,11847.5390625
121,11846.978515625
122,11846.423828125
123,11845.875
124,11845.33203125
125,11844.794921875
126,11844.2626953125
127,11843.7353515625
128,11843.21484375
129,11842.69921875
130,11842.1904296875
131,11841.685546875
132,11841.185546875
133,11840.6904296875
134,11840.203125
135,11839.71875
136,11839.240234375
137,11838.767578125
138,11838.298828125
139,11837.833984375
140,11837.375
141,11836.919921875
142,11836.46875
143,11836.021484375
144,11835.580078125
145,11835.140625
146,11834.7060546875
147,11834.275390625
148,11833.8486328125
149,11833.42578125
150,11833.0078125
151,11832.5927734375
152,11832.181640625
153,11831.7734375
154,11831.3701171875
155,11830.970703125
156,11830.572265625
157,11830.1787109375
158,11829.7890625
159,11829.40234375
160,11829.0185546875
161,11828.638671875
162,11828.2607421875
163,11827.88671875
164,11827.515625
165,11827.1474609375
166,11826.7822265625
167,11826.419921875
168,11826.060546875
169,11825.7041015625
170,11825.349609375
171,11824.998046875
172,11824.6513671875
173,11824.3046875
174,11823.9609375
175,11823.62109375
176,11823.283203125
177,11822.94921875
178,11822.6171875
179,11822.2880859375
180,11821.9609375
181,11821.63671875
182,11821.314453125
183,11820.99609375
184,11820.6787109375
185,11820.36328125
186,11820.05078125
187,11819.7412109375
188,11819.43359375
189,11819.126953125
190,11818.82421875
191,11818.521484375
192,11818.22265625
193,11817.92578125
194,11817.630859375
195,11817.337890625
196,11817.046875
197,11816.7578125
198,11816.46875
199,11816.18359375
