,Loss
0,16738.947265625
1,16731.986328125
2,16696.80078125
3,16621.345703125
4,16507.1015625
5,16368.740234375
6,16197.173828125
7,15972.8291015625
8,15681.5498046875
9,15311.220703125
10,14854.9462890625
11,14323.96875
12,13789.6689453125
13,13470.361328125
14,13532.25
15,12810.5400390625
16,12012.51953125
17,11528.8369140625
18,11117.6640625
19,10595.5224609375
20,620748800000.0
21,26654600593408.0
22,15839344459776.0
23,12919.537109375
24,13291062558720.0
25,445609869836288.0
26,2340589404160000.0
27,16455.69921875
28,18010.65625
29,19257.626953125
30,20268.2890625
31,21112.171875
32,21829.619140625
33,22448.00390625
34,22985.96484375
35,23457.3359375
36,23872.490234375
37,24239.5625
38,24565.0546875
39,24854.568359375
40,25112.779296875
41,25342.95703125
42,25548.330078125
43,25731.83984375
44,25895.958984375
45,26042.859375
46,26174.453125
47,26292.416015625
48,26398.23046875
49,26493.19140625
50,26578.453125
51,26655.04296875
52,26723.857421875
53,26785.69921875
54,26841.2890625
55,26891.2578125
56,26936.171875
57,26976.544921875
58,27012.84765625
59,27045.48046875
60,27074.8125
61,27101.173828125
62,27124.875
63,27146.17578125
64,27165.31640625
65,27182.5078125
66,27197.9453125
67,27211.80078125
68,27224.232421875
69,27235.388671875
70,27245.3984375
71,27254.373046875
72,27262.41796875
73,27269.61328125
74,27276.046875
75,27281.80078125
76,27286.93359375
77,27291.513671875
78,27295.58984375
79,27299.212890625
80,27302.42578125
81,27305.2734375
82,27307.787109375
83,27310.0078125
84,27311.95703125
85,27313.66796875
86,27315.15625
87,27316.4453125
88,27317.55078125
89,27318.490234375
90,27319.28125
91,27319.9375
92,27320.470703125
93,27320.89453125
94,27321.216796875
95,27321.4453125
96,27321.595703125
97,27321.66796875
98,27321.6640625
99,27321.59765625
100,27321.46484375
101,27321.265625
102,27321.00390625
103,27320.671875
104,27320.2734375
105,27319.806640625
106,27319.26953125
107,27318.68359375
108,27318.041015625
109,27317.3671875
110,27316.65625
111,27315.916015625
112,27315.15234375
113,27314.37109375
114,27313.57421875
115,27312.76953125
116,27311.953125
117,27311.1328125
118,27310.30078125
119,27309.466796875
120,27308.623046875
121,27307.765625
122,27306.89453125
123,27306.013671875
124,27305.12109375
125,27304.2109375
126,27303.283203125
127,27302.345703125
128,27301.3984375
129,27300.4375
130,27299.47265625
131,27298.50390625
132,27297.52734375
133,27296.54296875
134,27295.5546875
135,27294.5703125
136,27293.58203125
137,27292.59765625
138,27291.609375
139,27290.62109375
140,27289.638671875
141,27288.658203125
142,27287.68359375
143,27286.712890625
144,27285.7421875
145,27284.77734375
146,27283.81640625
147,27282.861328125
148,27281.91015625
149,27280.962890625
150,27280.01953125
151,27279.08203125
152,27278.15234375
153,27277.22265625
154,27276.296875
155,27275.375
156,27274.453125
157,27273.5390625
158,27272.6171875
159,27271.703125
160,27270.791015625
161,27269.8828125
162,27268.970703125
163,27268.05859375
164,27267.15234375
165,27266.25
166,27265.34765625
167,27264.44921875
168,27263.556640625
169,27262.6640625
170,27261.77734375
171,27260.890625
172,27260.00390625
173,27259.119140625
174,27258.234375
175,27257.349609375
176,27256.4609375
177,27255.56640625
178,27254.658203125
179,27253.7421875
180,27252.82421875
181,27251.8984375
182,27250.96875
183,27250.029296875
184,27249.078125
185,27248.12109375
186,27247.15234375
187,27246.181640625
188,27245.203125
189,27244.22265625
190,27243.2421875
191,27242.259765625
192,27241.2734375
193,27240.2890625
194,27239.30859375
195,27238.328125
196,27237.349609375
197,27236.375
198,27235.40234375
199,27234.4375
