,Loss
0,86674.0703125
1,86673.203125
2,86672.3359375
3,86671.4609375
4,86670.59375
5,86669.71875
6,86668.828125
7,86667.9453125
8,86667.0625
9,86666.171875
10,86665.296875
11,86664.40625
12,86663.5078125
13,86662.625
14,86661.734375
15,86660.84375
16,86659.953125
17,86659.0625
18,86658.171875
19,86657.28125
20,86656.390625
21,86655.5
22,86654.609375
23,86653.7265625
24,86652.84375
25,86651.953125
26,86651.0625
27,86650.1796875
28,86649.296875
29,86648.4140625
30,86647.53125
31,86646.65625
32,86645.765625
33,86644.890625
34,86644.015625
35,86643.125
36,86642.25
37,86641.375
38,86640.5
39,86639.625
40,86638.75
41,86637.875
42,86637.0
43,86636.125
44,86635.2578125
45,86634.375
46,86633.5078125
47,86632.6328125
48,86631.765625
49,86630.890625
50,86630.0234375
51,86629.15625
52,86628.28125
53,86627.421875
54,86626.5546875
55,86625.6875
56,86624.8203125
57,86623.953125
58,86623.0859375
59,86622.2265625
60,86621.359375
61,86620.5
62,86619.640625
63,86618.7734375
64,86617.90625
65,86617.046875
66,86616.1875
67,86615.3203125
68,86614.46875
69,86613.6015625
70,86612.7421875
71,86611.8828125
72,86611.0234375
73,86610.1640625
74,86609.3125
75,86608.453125
76,86607.5859375
77,86606.734375
78,86605.875
79,86605.015625
80,86604.1640625
81,86603.296875
82,86602.4453125
83,86601.59375
84,86600.734375
85,86599.8828125
86,86599.03125
87,86598.171875
88,86597.3203125
89,86596.46875
90,86595.609375
91,86594.7578125
92,86593.90625
93,86593.046875
94,86592.203125
95,86591.3515625
96,86590.4921875
97,86589.640625
98,86588.7890625
99,86587.9453125
100,86587.09375
101,86586.2421875
102,86585.390625
103,86584.546875
104,86583.6953125
105,86582.84375
106,86582.0
107,86581.15625
108,86580.3125
109,86579.453125
110,86578.609375
111,86577.765625
112,86576.921875
113,86576.078125
114,86575.2265625
115,86574.3828125
116,86573.5390625
117,86572.6953125
118,86571.8515625
119,86571.0078125
120,86570.1640625
121,86569.3203125
122,86568.484375
123,86567.640625
124,86566.796875
125,86565.9609375
126,86565.1171875
127,86564.2734375
128,86563.4375
129,86562.59375
130,86561.7578125
131,86560.921875
132,86560.078125
133,86559.2421875
134,86558.40625
135,86557.5703125
136,86556.734375
137,86555.8984375
138,86555.0625
139,86554.234375
140,86553.390625
141,86552.5625
142,86551.71875
143,86550.890625
144,86550.0625
145,86549.234375
146,86548.3984375
147,86547.5703125
148,86546.734375
149,86545.90625
150,86545.078125
151,86544.25
152,86543.4296875
153,86542.6015625
154,86541.765625
155,86540.9453125
156,86540.125
157,86539.296875
158,86538.4765625
159,86537.65625
160,86536.828125
161,86536.0078125
162,86535.1875
163,86534.359375
164,86533.5390625
165,86532.71875
166,86531.90625
167,86531.078125
168,86530.265625
169,86529.4453125
170,86528.625
171,86527.8125
172,86526.9921875
173,86526.171875
174,86525.3671875
175,86524.546875
176,86523.734375
177,86522.921875
178,86522.109375
179,86521.3046875
180,86520.5
181,86519.6875
182,86518.890625
183,86518.0859375
184,86517.28125
185,86516.4765625
186,86515.671875
187,86514.875
188,86514.078125
189,86513.28125
190,86512.484375
191,86511.6875
192,86510.8984375
193,86510.1015625
194,86509.3125
195,86508.515625
196,86507.734375
197,86506.953125
198,86506.171875
199,86505.390625
