,Loss
0,14165.22265625
1,14164.88671875
2,14164.546875
3,14164.205078125
4,14163.8623046875
5,14163.517578125
6,14163.171875
7,14162.826171875
8,14162.478515625
9,14162.1318359375
10,14161.78515625
11,14161.439453125
12,14161.0947265625
13,14160.7490234375
14,14160.40625
15,14160.064453125
16,14159.724609375
17,14159.3857421875
18,14159.0478515625
19,14158.712890625
20,14158.37890625
21,14158.046875
22,14157.7158203125
23,14157.38671875
24,14157.05859375
25,14156.732421875
26,14156.4091796875
27,14156.087890625
28,14155.767578125
29,14155.44921875
30,14155.1328125
31,14154.8193359375
32,14154.5068359375
33,14154.197265625
34,14153.888671875
35,14153.5830078125
36,14153.279296875
37,14152.9765625
38,14152.67578125
39,14152.376953125
40,14152.080078125
41,14151.78515625
42,14151.4912109375
43,14151.19921875
44,14150.91015625
45,14150.623046875
46,14150.3359375
47,14150.0537109375
48,14149.771484375
49,14149.4921875
50,14149.21484375
51,14148.9384765625
52,14148.666015625
53,14148.392578125
54,14148.1220703125
55,14147.853515625
56,14147.5859375
57,14147.3203125
58,14147.056640625
59,14146.7939453125
60,14146.533203125
61,14146.2734375
62,14146.015625
63,14145.7587890625
64,14145.50390625
65,14145.25
66,14144.9970703125
67,14144.74609375
68,14144.49609375
69,14144.248046875
70,14144.001953125
71,14143.755859375
72,14143.51171875
73,14143.26953125
74,14143.02734375
75,14142.787109375
76,14142.548828125
77,14142.310546875
78,14142.07421875
79,14141.837890625
80,14141.60546875
81,14141.373046875
82,14141.1416015625
83,14140.912109375
84,14140.6826171875
85,14140.4560546875
86,14140.23046875
87,14140.0048828125
88,14139.78125
89,14139.55859375
90,14139.3369140625
91,14139.1171875
92,14138.8974609375
93,14138.6796875
94,14138.462890625
95,14138.2470703125
96,14138.0322265625
97,14137.818359375
98,14137.6064453125
99,14137.39453125
100,14137.1845703125
101,14136.974609375
102,14136.767578125
103,14136.55859375
104,14136.353515625
105,14136.1474609375
106,14135.943359375
107,14135.740234375
108,14135.537109375
109,14135.3359375
110,14135.134765625
111,14134.935546875
112,14134.736328125
113,14134.5390625
114,14134.3427734375
115,14134.146484375
116,14133.9521484375
117,14133.7578125
118,14133.564453125
119,14133.373046875
120,14133.181640625
121,14132.9912109375
122,14132.8017578125
123,14132.61328125
124,14132.42578125
125,14132.23828125
126,14132.052734375
127,14131.8671875
128,14131.6826171875
129,14131.5
130,14131.31640625
131,14131.134765625
132,14130.953125
133,14130.7734375
134,14130.59375
135,14130.416015625
136,14130.2373046875
137,14130.060546875
138,14129.884765625
139,14129.708984375
140,14129.533203125
141,14129.359375
142,14129.1865234375
143,14129.013671875
144,14128.841796875
145,14128.669921875
146,14128.5
147,14128.330078125
148,14128.162109375
149,14127.994140625
150,14127.826171875
151,14127.66015625
152,14127.494140625
153,14127.3291015625
154,14127.1640625
155,14127.001953125
156,14126.8388671875
157,14126.6767578125
158,14126.5146484375
159,14126.3544921875
160,14126.193359375
161,14126.0341796875
162,14125.875
163,14125.716796875
164,14125.5595703125
165,14125.4033203125
166,14125.24609375
167,14125.0908203125
168,14124.935546875
169,14124.7822265625
170,14124.6279296875
171,14124.474609375
172,14124.3212890625
173,14124.169921875
174,14124.0185546875
175,14123.8671875
176,14123.716796875
177,14123.56640625
178,14123.416015625
179,14123.2685546875
180,14123.1201171875
181,14122.9716796875
182,14122.82421875
183,14122.677734375
184,14122.53125
185,14122.38671875
186,14122.240234375
187,14122.095703125
188,14121.9521484375
189,14121.80859375
190,14121.666015625
191,14121.5234375
192,14121.380859375
193,14121.2392578125
194,14121.0986328125
195,14120.95703125
196,14120.818359375
197,14120.677734375
198,14120.5400390625
199,14120.4013671875
