,Loss
0,60500.1875
1,60499.3203125
2,60498.4453125
3,60497.5625
4,60496.6796875
5,60495.7890625
6,60494.90234375
7,60494.00390625
8,60493.109375
9,60492.2109375
10,60491.30859375
11,60490.40234375
12,60489.5
13,60488.59375
14,60487.6796875
15,60486.7734375
16,60485.8671875
17,60484.953125
18,60484.04296875
19,60483.1328125
20,60482.21875
21,60481.3046875
22,60480.390625
23,60479.48046875
24,60478.5625
25,60477.65234375
26,60476.73828125
27,60475.82421875
28,60474.9140625
29,60474.0
30,60473.0859375
31,60472.171875
32,60471.2578125
33,60470.34375
34,60469.4296875
35,60468.515625
36,60467.6015625
37,60466.6875
38,60465.77734375
39,60464.8671875
40,60463.953125
41,60463.0390625
42,60462.1328125
43,60461.21875
44,60460.3046875
45,60459.39453125
46,60458.484375
47,60457.57421875
48,60456.6640625
49,60455.75
50,60454.84375
51,60453.93359375
52,60453.01953125
53,60452.109375
54,60451.203125
55,60450.29296875
56,60449.3828125
57,60448.4765625
58,60447.56640625
59,60446.66015625
60,60445.75
61,60444.84375
62,60443.9375
63,60443.02734375
64,60442.1171875
65,60441.21484375
66,60440.3046875
67,60439.3984375
68,60438.4921875
69,60437.5859375
70,60436.6796875
71,60435.7734375
72,60434.8671875
73,60433.9609375
74,60433.0546875
75,60432.1484375
76,60431.25
77,60430.34375
78,60429.4375
79,60428.53125
80,60427.625
81,60426.71875
82,60425.81640625
83,60424.9140625
84,60424.0078125
85,60423.1015625
86,60422.19921875
87,60421.296875
88,60420.390625
89,60419.484375
90,60418.5859375
91,60417.6796875
92,60416.7734375
93,60415.875
94,60414.96875
95,60414.06640625
96,60413.1640625
97,60412.26171875
98,60411.359375
99,60410.453125
100,60409.5546875
101,60408.6484375
102,60407.74609375
103,60406.84375
104,60405.94140625
105,60405.0390625
106,60404.140625
107,60403.23046875
108,60402.33203125
109,60401.4296875
110,60400.5234375
111,60399.625
112,60398.71875
113,60397.8203125
114,60396.9140625
115,60396.015625
116,60395.11328125
117,60394.2109375
118,60393.30859375
119,60392.40625
120,60391.50390625
121,60390.6015625
122,60389.69921875
123,60388.796875
124,60387.89453125
125,60386.9921875
126,60386.09375
127,60385.1875
128,60384.28515625
129,60383.3828125
130,60382.484375
131,60381.578125
132,60380.6796875
133,60379.7734375
134,60378.875
135,60377.96875
136,60377.0703125
137,60376.1640625
138,60375.265625
139,60374.359375
140,60373.4609375
141,60372.5546875
142,60371.65625
143,60370.75390625
144,60369.8515625
145,60368.94921875
146,60368.046875
147,60367.140625
148,60366.2421875
149,60365.3359375
150,60364.4375
151,60363.53125
152,60362.62890625
153,60361.7265625
154,60360.828125
155,60359.921875
156,60359.01953125
157,60358.1171875
158,60357.21875
159,60356.3125
160,60355.41015625
161,60354.5078125
162,60353.60546875
163,60352.703125
164,60351.796875
165,60350.89453125
166,60349.9921875
167,60349.08984375
168,60348.18359375
169,60347.28125
170,60346.3828125
171,60345.4765625
172,60344.5703125
173,60343.66796875
174,60342.765625
175,60341.859375
176,60340.9609375
177,60340.0546875
178,60339.1484375
179,60338.24609375
180,60337.33984375
181,60336.4375
182,60335.53125
183,60334.6328125
184,60333.7265625
185,60332.8203125
186,60331.91796875
187,60331.015625
188,60330.109375
189,60329.203125
190,60328.30078125
191,60327.3984375
192,60326.48828125
193,60325.5859375
194,60324.6796875
195,60323.77734375
196,60322.875
197,60321.96875
198,60321.0625
199,60320.15625
