,Loss
0,34936.3046875
1,34935.22265625
2,34934.1328125
3,34933.0390625
4,34931.9453125
5,34930.83984375
6,34929.734375
7,34928.62890625
8,34927.5234375
9,34926.4140625
10,34925.3046875
11,34924.203125
12,34923.09375
13,34921.9921875
14,34920.88671875
15,34919.78515625
16,34918.6875
17,34917.58984375
18,34916.49609375
19,34915.40625
20,34914.31640625
21,34913.23046875
22,34912.1484375
23,34911.06640625
24,34909.9921875
25,34908.9140625
26,34907.84375
27,34906.78125
28,34905.71875
29,34904.65625
30,34903.6015625
31,34902.546875
32,34901.5
33,34900.453125
34,34899.40625
35,34898.37109375
36,34897.3359375
37,34896.3046875
38,34895.27734375
39,34894.25
40,34893.23046875
41,34892.2109375
42,34891.19921875
43,34890.1875
44,34889.1796875
45,34888.1796875
46,34887.1796875
47,34886.1796875
48,34885.1875
49,34884.1953125
50,34883.2109375
51,34882.2265625
52,34881.25
53,34880.26953125
54,34879.29296875
55,34878.3203125
56,34877.3515625
57,34876.38671875
58,34875.421875
59,34874.46484375
60,34873.50390625
61,34872.5546875
62,34871.6015625
63,34870.6484375
64,34869.703125
65,34868.7578125
66,34867.81640625
67,34866.875
68,34865.9453125
69,34865.01171875
70,34864.078125
71,34863.1484375
72,34862.2265625
73,34861.296875
74,34860.375
75,34859.4609375
76,34858.5390625
77,34857.62890625
78,34856.71875
79,34855.80859375
80,34854.90234375
81,34853.99609375
82,34853.09375
83,34852.1953125
84,34851.296875
85,34850.40625
86,34849.5078125
87,34848.6171875
88,34847.734375
89,34846.84765625
90,34845.9609375
91,34845.078125
92,34844.203125
93,34843.328125
94,34842.44921875
95,34841.578125
96,34840.703125
97,34839.8359375
98,34838.96875
99,34838.1015625
100,34837.2421875
101,34836.3828125
102,34835.5234375
103,34834.6640625
104,34833.8125
105,34832.953125
106,34832.1015625
107,34831.25
108,34830.40625
109,34829.55859375
110,34828.71484375
111,34827.87109375
112,34827.03125
113,34826.19140625
114,34825.3515625
115,34824.515625
116,34823.68359375
117,34822.8515625
118,34822.01953125
119,34821.1875
120,34820.36328125
121,34819.53515625
122,34818.7109375
123,34817.890625
124,34817.0703125
125,34816.25
126,34815.4375
127,34814.62109375
128,34813.8046875
129,34812.99609375
130,34812.18359375
131,34811.375
132,34810.56640625
133,34809.7578125
134,34808.9609375
135,34808.15625
136,34807.359375
137,34806.5546875
138,34805.76171875
139,34804.96484375
140,34804.171875
141,34803.37890625
142,34802.58984375
143,34801.80078125
144,34801.0078125
145,34800.2265625
146,34799.4375
147,34798.65625
148,34797.87109375
149,34797.09375
150,34796.3125
151,34795.5390625
152,34794.76171875
153,34793.984375
154,34793.2109375
155,34792.4375
156,34791.66796875
157,34790.8984375
158,34790.1328125
159,34789.3671875
160,34788.6015625
161,34787.8359375
162,34787.0703125
163,34786.3125
164,34785.5546875
165,34784.796875
166,34784.0390625
167,34783.28125
168,34782.53125
169,34781.77734375
170,34781.02734375
171,34780.2734375
172,34779.5234375
173,34778.78125
174,34778.03125
175,34777.28515625
176,34776.5390625
177,34775.796875
178,34775.0546875
179,34774.3125
180,34773.578125
181,34772.8359375
182,34772.09765625
183,34771.36328125
184,34770.62890625
185,34769.89453125
186,34769.15625
187,34768.4296875
188,34767.6953125
189,34766.9609375
190,34766.234375
191,34765.50390625
192,34764.77734375
193,34764.05078125
194,34763.32421875
195,34762.59765625
196,34761.875
197,34761.1484375
198,34760.4296875
199,34759.7109375
