,Loss
0,82963.265625
1,82962.3125
2,82961.359375
3,82960.375
4,82959.3984375
5,82958.40625
6,82957.40625
7,82956.3984375
8,82955.390625
9,82954.375
10,82953.359375
11,82952.328125
12,82951.3046875
13,82950.28125
14,82949.25
15,82948.21875
16,82947.1953125
17,82946.15625
18,82945.1328125
19,82944.109375
20,82943.078125
21,82942.046875
22,82941.015625
23,82940.0
24,82938.96875
25,82937.9453125
26,82936.921875
27,82935.8984375
28,82934.8828125
29,82933.8671875
30,82932.8515625
31,82931.84375
32,82930.828125
33,82929.8203125
34,82928.8125
35,82927.8046875
36,82926.796875
37,82925.796875
38,82924.796875
39,82923.796875
40,82922.8046875
41,82921.8125
42,82920.8125
43,82919.8203125
44,82918.828125
45,82917.8515625
46,82916.859375
47,82915.875
48,82914.8984375
49,82913.90625
50,82912.9375
51,82911.9609375
52,82910.984375
53,82910.0
54,82909.03125
55,82908.0625
56,82907.09375
57,82906.125
58,82905.15625
59,82904.1875
60,82903.234375
61,82902.265625
62,82901.3046875
63,82900.3515625
64,82899.390625
65,82898.4375
66,82897.4765625
67,82896.53125
68,82895.578125
69,82894.625
70,82893.671875
71,82892.7265625
72,82891.78125
73,82890.8359375
74,82889.8984375
75,82888.953125
76,82888.015625
77,82887.0703125
78,82886.140625
79,82885.1953125
80,82884.265625
81,82883.328125
82,82882.390625
83,82881.46875
84,82880.53125
85,82879.6015625
86,82878.671875
87,82877.75
88,82876.8203125
89,82875.90625
90,82874.96875
91,82874.0546875
92,82873.125
93,82872.2109375
94,82871.296875
95,82870.3828125
96,82869.46875
97,82868.5546875
98,82867.640625
99,82866.7265625
100,82865.8203125
101,82864.9140625
102,82864.0
103,82863.09375
104,82862.1875
105,82861.2890625
106,82860.3828125
107,82859.4765625
108,82858.578125
109,82857.6796875
110,82856.7734375
111,82855.875
112,82854.984375
113,82854.09375
114,82853.1875
115,82852.296875
116,82851.40625
117,82850.515625
118,82849.625
119,82848.734375
120,82847.84375
121,82846.9609375
122,82846.078125
123,82845.1875
124,82844.296875
125,82843.421875
126,82842.546875
127,82841.6640625
128,82840.78125
129,82839.90625
130,82839.03125
131,82838.15625
132,82837.28125
133,82836.40625
134,82835.53125
135,82834.6640625
136,82833.7890625
137,82832.921875
138,82832.0546875
139,82831.1875
140,82830.3125
141,82829.453125
142,82828.59375
143,82827.7265625
144,82826.859375
145,82826.0
146,82825.140625
147,82824.2734375
148,82823.421875
149,82822.5625
150,82821.6953125
151,82820.84375
152,82819.984375
153,82819.125
154,82818.265625
155,82817.421875
156,82816.5625
157,82815.703125
158,82814.859375
159,82814.0
160,82813.140625
161,82812.296875
162,82811.4375
163,82810.59375
164,82809.734375
165,82808.890625
166,82808.0390625
167,82807.1953125
168,82806.34375
169,82805.5
170,82804.640625
171,82803.796875
172,82802.953125
173,82802.109375
174,82801.265625
175,82800.421875
176,82799.578125
177,82798.734375
178,82797.8828125
179,82797.046875
180,82796.203125
181,82795.359375
182,82794.515625
183,82793.671875
184,82792.8359375
185,82791.9921875
186,82791.15625
187,82790.3125
188,82789.484375
189,82788.640625
190,82787.796875
191,82786.9609375
192,82786.125
193,82785.28125
194,82784.453125
195,82783.609375
196,82782.78125
197,82781.9375
198,82781.109375
199,82780.28125
