,Loss
0,53564.640625
1,53563.58984375
2,53562.53125
3,53561.46484375
4,53560.3984375
5,53559.32421875
6,53558.24609375
7,53557.1640625
8,53556.08203125
9,53554.99609375
10,53553.90625
11,53552.8203125
12,53551.7265625
13,53550.6328125
14,53549.5390625
15,53548.4453125
16,53547.34765625
17,53546.25
18,53545.15625
19,53544.0546875
20,53542.9609375
21,53541.859375
22,53540.765625
23,53539.6640625
24,53538.56640625
25,53537.46875
26,53536.375
27,53535.2734375
28,53534.1796875
29,53533.08203125
30,53531.984375
31,53530.890625
32,53529.796875
33,53528.703125
34,53527.609375
35,53526.515625
36,53525.421875
37,53524.328125
38,53523.234375
39,53522.1484375
40,53521.0546875
41,53519.96875
42,53518.87890625
43,53517.7890625
44,53516.703125
45,53515.6171875
46,53514.53125
47,53513.4453125
48,53512.3671875
49,53511.28125
50,53510.1953125
51,53509.1171875
52,53508.03515625
53,53506.95703125
54,53505.87890625
55,53504.80078125
56,53503.7265625
57,53502.6484375
58,53501.5703125
59,53500.5
60,53499.421875
61,53498.3515625
62,53497.28125
63,53496.2109375
64,53495.140625
65,53494.0703125
66,53493.00390625
67,53491.9375
68,53490.87109375
69,53489.8046875
70,53488.7421875
71,53487.6796875
72,53486.6171875
73,53485.5546875
74,53484.49609375
75,53483.4375
76,53482.375
77,53481.3203125
78,53480.265625
79,53479.20703125
80,53478.15625
81,53477.1015625
82,53476.046875
83,53474.99609375
84,53473.9453125
85,53472.8984375
86,53471.84765625
87,53470.80078125
88,53469.75390625
89,53468.70703125
90,53467.6640625
91,53466.62109375
92,53465.578125
93,53464.5390625
94,53463.5
95,53462.45703125
96,53461.41796875
97,53460.3828125
98,53459.34375
99,53458.3125
100,53457.2734375
101,53456.2421875
102,53455.2109375
103,53454.1796875
104,53453.1484375
105,53452.12109375
106,53451.09375
107,53450.0703125
108,53449.0390625
109,53448.01953125
110,53446.9921875
111,53445.96875
112,53444.953125
113,53443.93359375
114,53442.9140625
115,53441.89453125
116,53440.8828125
117,53439.86328125
118,53438.84375
119,53437.8359375
120,53436.8203125
121,53435.8125
122,53434.8046875
123,53433.79296875
124,53432.78515625
125,53431.77734375
126,53430.7734375
127,53429.7734375
128,53428.765625
129,53427.765625
130,53426.765625
131,53425.765625
132,53424.765625
133,53423.76953125
134,53422.7734375
135,53421.77734375
136,53420.78125
137,53419.7890625
138,53418.796875
139,53417.80859375
140,53416.81640625
141,53415.8359375
142,53414.84765625
143,53413.859375
144,53412.875
145,53411.89453125
146,53410.90625
147,53409.9296875
148,53408.953125
149,53407.97265625
150,53406.9921875
151,53406.01953125
152,53405.04296875
153,53404.0703125
154,53403.09765625
155,53402.125
156,53401.15625
157,53400.1875
158,53399.22265625
159,53398.2578125
160,53397.2890625
161,53396.328125
162,53395.36328125
163,53394.3984375
164,53393.4453125
165,53392.484375
166,53391.52734375
167,53390.56640625
168,53389.61328125
169,53388.66015625
170,53387.7109375
171,53386.75390625
172,53385.8046875
173,53384.859375
174,53383.91015625
175,53382.9609375
176,53382.015625
177,53381.0703125
178,53380.12890625
179,53379.1875
180,53378.25
181,53377.3125
182,53376.37109375
183,53375.4375
184,53374.5
185,53373.56640625
186,53372.6328125
187,53371.703125
188,53370.7734375
189,53369.84375
190,53368.9140625
191,53367.98828125
192,53367.0625
193,53366.140625
194,53365.21484375
195,53364.29296875
196,53363.375
197,53362.45703125
198,53361.5390625
199,53360.62109375
