,Eps Score,Eps Length
0,-1289.2638251256415,200
1,-1432.785969481573,200
2,-1354.391758499909,200
3,-1703.122488805227,200
4,-1578.9089174228775,200
5,-1612.1093491380348,200
6,-979.290200011314,200
7,-1331.8935134871258,200
8,-1275.659807531739,200
9,-1476.6700972384594,200
10,-1161.116326852054,200
11,-1359.69326309306,200
12,-1176.0722859080292,200
13,-1358.1026567432034,200
14,-1759.246778072839,200
15,-1105.2555955615449,200
16,-1435.7301699174716,200
17,-1332.7979887377714,200
18,-1732.6634343046915,200
