,Eps Score,Eps Length
0,-1763.3997625797417,200
1,-1360.8686219535618,200
2,-1522.8013906806673,200
3,-1342.216217985272,200
4,-1588.0541624090797,200
5,-1707.0771308583396,200
6,-1173.6138973555112,200
7,-1268.4289499249255,200
8,-1621.9579549490115,200
9,-1230.8344140959643,200
10,-1172.834403580268,200
11,-1435.486364347199,200
12,-1227.9236770260193,200
13,-1338.9022362414128,200
14,-1039.6360873497686,200
15,-1234.4278628439754,200
16,-1330.856328893607,200
17,-1248.9290355818564,200
18,-1122.1875944811113,200
19,-1142.4575361925451,200
20,-1237.4600295971713,200
21,-1156.4001730258906,200
22,-839.9158052495973,200
23,-1129.9123063806067,200
24,-1132.237150560312,200
25,-1079.7300887533693,200
26,-1037.1658824998224,200
27,-1120.5222896585533,200
28,-1021.0657391211206,200
29,-1082.7394515767458,200
30,-1025.4693641465803,200
31,-741.6067781512937,200
32,-876.8514636936516,200
33,-1029.0843271542658,200
34,-880.1457024574362,200
35,-737.351599865502,200
36,-627.8545372552472,200
37,-621.606241916371,200
38,-0.8402211314820943,200
39,-121.47668150536911,200
40,-126.02871513162573,200
41,-2.4575416332238267,200
42,-125.12330409195869,200
43,-252.05987470423565,200
44,-341.0614958966051,200
45,-244.4520173525886,200
46,-9.03541148067271,200
47,-126.79777903249517,200
48,-2.448260641038003,200
49,-331.5646405843049,200
50,-351.3065630459957,200
51,-5.995915377309877,200
52,-239.75220859132327,200
53,-121.39514289925877,200
54,-367.1401181359709,200
55,-240.2247860012687,200
56,-121.4766262274353,200
57,-245.71908990858407,200
58,-123.6586050906753,200
