,Loss
0,50173.96875
1,50173.0078125
2,50172.0390625
3,50171.0625
4,50170.078125
5,50169.09375
6,50168.1015625
7,50167.1015625
8,50166.09375
9,50165.0859375
10,50164.07421875
11,50163.0625
12,50162.046875
13,50161.0234375
14,50160.0078125
15,50158.98046875
16,50157.95703125
17,50156.9296875
18,50155.8984375
19,50154.87109375
20,50153.83984375
21,50152.80859375
22,50151.7734375
23,50150.7421875
24,50149.7109375
25,50148.671875
26,50147.640625
27,50146.60546875
28,50145.5703125
29,50144.53515625
30,50143.5
31,50142.46875
32,50141.4296875
33,50140.39453125
34,50139.359375
35,50138.3203125
36,50137.28515625
37,50136.25
38,50135.21484375
39,50134.1796875
40,50133.14453125
41,50132.109375
42,50131.078125
43,50130.0390625
44,50129.0078125
45,50127.9765625
46,50126.9375
47,50125.90625
48,50124.875
49,50123.8359375
50,50122.8046875
51,50121.7734375
52,50120.7421875
53,50119.7109375
54,50118.67578125
55,50117.6484375
56,50116.61328125
57,50115.5859375
58,50114.5546875
59,50113.51953125
60,50112.4921875
61,50111.4609375
62,50110.4296875
63,50109.3984375
64,50108.37109375
65,50107.34375
66,50106.31640625
67,50105.2890625
68,50104.26171875
69,50103.234375
70,50102.203125
71,50101.1796875
72,50100.1484375
73,50099.125
74,50098.1015625
75,50097.0703125
76,50096.046875
77,50095.0234375
78,50094.0
79,50092.9765625
80,50091.953125
81,50090.9296875
82,50089.90234375
83,50088.8828125
84,50087.859375
85,50086.8359375
86,50085.81640625
87,50084.79296875
88,50083.76953125
89,50082.75
90,50081.7265625
91,50080.7109375
92,50079.6875
93,50078.66796875
94,50077.6484375
95,50076.62890625
96,50075.609375
97,50074.58984375
98,50073.5703125
99,50072.5546875
100,50071.5390625
101,50070.51953125
102,50069.50390625
103,50068.484375
104,50067.46875
105,50066.453125
106,50065.4375
107,50064.42578125
108,50063.41015625
109,50062.39453125
110,50061.3828125
111,50060.3671875
112,50059.3515625
113,50058.3359375
114,50057.328125
115,50056.3125
116,50055.30078125
117,50054.2890625
118,50053.27734375
119,50052.265625
120,50051.2578125
121,50050.24609375
122,50049.234375
123,50048.2265625
124,50047.21875
125,50046.20703125
126,50045.203125
127,50044.19140625
128,50043.18359375
129,50042.1796875
130,50041.171875
131,50040.1640625
132,50039.15625
133,50038.1484375
134,50037.14453125
135,50036.140625
136,50035.1328125
137,50034.1328125
138,50033.12890625
139,50032.125
140,50031.12109375
141,50030.1171875
142,50029.1171875
143,50028.109375
144,50027.109375
145,50026.109375
146,50025.109375
147,50024.109375
148,50023.109375
149,50022.109375
150,50021.109375
151,50020.109375
152,50019.109375
153,50018.109375
154,50017.11328125
155,50016.1171875
156,50015.125
157,50014.125
158,50013.12890625
159,50012.1328125
160,50011.13671875
161,50010.14453125
162,50009.1484375
163,50008.15625
164,50007.1640625
165,50006.171875
166,50005.17578125
167,50004.18359375
168,50003.19140625
169,50002.203125
170,50001.2109375
171,50000.21875
172,49999.234375
173,49998.2421875
174,49997.25390625
175,49996.265625
176,49995.2734375
177,49994.2890625
178,49993.30078125
179,49992.31640625
180,49991.328125
181,49990.34375
182,49989.359375
183,49988.375
184,49987.390625
185,49986.40625
186,49985.421875
187,49984.44140625
188,49983.45703125
189,49982.4765625
190,49981.49609375
191,49980.515625
192,49979.53515625
193,49978.5546875
194,49977.57421875
195,49976.59765625
196,49975.6171875
197,49974.640625
198,49973.6640625
199,49972.6875
